cell	trial	ttft_ms	exit_ms	rc	stdout_bytes	note
# ia_cold load: 2.65 2.42 2.54
# resid ia_cold #1: resident_pages=0/28326 attempts=1
ia_cold	1	316.6	318.5	0	8	cold
# resid ia_cold #2: resident_pages=0/28326 attempts=1
ia_cold	2	284.0	286.0	0	8	cold
# resid ia_cold #3: resident_pages=0/28326 attempts=1
ia_cold	3	276.7	278.7	0	8	cold
# resid ia_cold #4: resident_pages=0/28326 attempts=1
ia_cold	4	280.4	283.7	0	8	cold
# resid ia_cold #5: resident_pages=0/28326 attempts=1
ia_cold	5	282.9	285.0	0	8	cold
# resid ia_cold #6: resident_pages=0/28326 attempts=1
ia_cold	6	278.1	280.1	0	8	cold
# resid ia_cold #7: resident_pages=0/28326 attempts=1
ia_cold	7	268.8	270.7	0	8	cold
# resid ia_cold #8: resident_pages=0/28326 attempts=1
ia_cold	8	278.1	280.0	0	8	cold
# resid ia_cold #9: resident_pages=0/28326 attempts=1
ia_cold	9	279.1	281.2	0	8	cold
# resid ia_cold #10: resident_pages=0/28326 attempts=1
ia_cold	10	274.9	276.6	0	8	cold
# resid ia_cold #11: resident_pages=0/28326 attempts=1
ia_cold	11	270.9	272.5	0	8	cold
# resid ia_cold #12: resident_pages=0/28326 attempts=1
ia_cold	12	266.4	268.1	0	8	cold
# ia_warm load: 3.48 2.60 2.60
ia_warm	1	108.7	110.2	0	8	warm
ia_warm	2	95.9	97.5	0	8	warm
ia_warm	3	100.6	102.3	0	8	warm
ia_warm	4	104.0	105.9	0	8	warm
ia_warm	5	92.2	93.9	0	8	warm
ia_warm	6	102.1	103.6	0	8	warm
ia_warm	7	101.6	103.2	0	8	warm
ia_warm	8	109.9	111.5	0	8	warm
ia_warm	9	101.6	103.1	0	8	warm
ia_warm	10	100.0	101.6	0	8	warm
ia_warm	11	102.6	104.3	0	8	warm
ia_warm	12	105.5	107.4	0	8	warm
# ia_linger load: 3.48 2.60 2.60
ia_linger	1	50.0	50.5	0	8	linger
ia_linger	2	28.3	28.7	0	8	linger
ia_linger	3	27.2	27.5	0	8	linger
ia_linger	4	27.9	28.2	0	8	linger
ia_linger	5	28.5	28.9	0	8	linger
ia_linger	6	27.1	27.3	0	8	linger
ia_linger	7	27.4	27.7	0	8	linger
ia_linger	8	26.5	26.8	0	8	linger
ia_linger	9	27.4	27.9	0	8	linger
ia_linger	10	27.6	27.9	0	8	linger
ia_linger	11	27.3	27.7	0	8	linger
ia_linger	12	27.4	27.7	0	8	linger
# llamacpp_cold load: 3.52 2.62 2.61
# resid llamacpp_cold #1: resident_pages=0/34365 attempts=1
llamacpp_cold	1	1535.6	1651.5	0	24	cold
# resid llamacpp_cold #2: resident_pages=0/34365 attempts=1
llamacpp_cold	2	1359.3	1630.2	0	24	cold
# resid llamacpp_cold #3: resident_pages=0/34365 attempts=1
llamacpp_cold	3	1330.9	1618.4	0	24	cold
# resid llamacpp_cold #4: resident_pages=0/34365 attempts=1
llamacpp_cold	4	1350.7	1617.0	0	24	cold
# resid llamacpp_cold #5: resident_pages=0/34365 attempts=1
llamacpp_cold	5	1363.1	1626.1	0	24	cold
# resid llamacpp_cold #6: resident_pages=0/34365 attempts=1
llamacpp_cold	6	1333.1	1612.4	0	24	cold
# resid llamacpp_cold #7: resident_pages=0/34365 attempts=1
llamacpp_cold	7	1368.8	1629.9	0	24	cold
# resid llamacpp_cold #8: resident_pages=0/34365 attempts=1
llamacpp_cold	8	1386.9	1596.0	0	24	cold
# resid llamacpp_cold #9: resident_pages=0/34365 attempts=1
llamacpp_cold	9	1373.2	1617.4	0	24	cold
# resid llamacpp_cold #10: resident_pages=0/34365 attempts=1
llamacpp_cold	10	1340.5	1636.1	0	24	cold
# resid llamacpp_cold #11: resident_pages=0/34365 attempts=1
llamacpp_cold	11	1236.5	1610.8	0	24	cold
# resid llamacpp_cold #12: resident_pages=0/34365 attempts=1
llamacpp_cold	12	1243.8	1610.3	0	24	cold
# llamacpp_warm load: 3.64 2.71 2.64
llamacpp_warm	1	1075.4	1618.5	0	24	warm
llamacpp_warm	2	1102.9	1623.9	0	24	warm
llamacpp_warm	3	1035.7	1106.3	0	24	warm
llamacpp_warm	4	1050.0	1124.0	0	24	warm
llamacpp_warm	5	1036.5	1111.6	0	24	warm
llamacpp_warm	6	1090.8	1624.3	0	24	warm
llamacpp_warm	7	1064.3	1621.3	0	24	warm
llamacpp_warm	8	1105.0	1626.7	0	24	warm
llamacpp_warm	9	1066.8	1622.9	0	24	warm
llamacpp_warm	10	1068.1	1608.5	0	24	warm
llamacpp_warm	11	1113.8	1603.5	0	24	warm
llamacpp_warm	12	1135.7	1610.7	0	24	warm
# ollama_cold load: 3.34 2.70 2.63
# evictset ollama_cold: manifest (3 files)
# unload ollama_cold #1: ok
# resid ollama_cold #1: resident_pages=0/34367 attempts=1
ollama_cold	1	1365.0	1365.8	0	10	cold
# unload ollama_cold #2: ok
# resid ollama_cold #2: resident_pages=0/34367 attempts=1
ollama_cold	2	1358.0	1359.0	0	10	cold
# unload ollama_cold #3: ok
# resid ollama_cold #3: resident_pages=0/34367 attempts=1
ollama_cold	3	1351.5	1352.4	0	10	cold
# unload ollama_cold #4: ok
# resid ollama_cold #4: resident_pages=0/34367 attempts=1
ollama_cold	4	1354.8	1355.8	0	10	cold
# unload ollama_cold #5: ok
# resid ollama_cold #5: resident_pages=0/34367 attempts=1
ollama_cold	5	1349.7	1350.8	0	10	cold
# unload ollama_cold #6: ok
# resid ollama_cold #6: resident_pages=0/34367 attempts=1
ollama_cold	6	1360.8	1361.8	0	10	cold
# unload ollama_cold #7: ok
# resid ollama_cold #7: resident_pages=0/34367 attempts=1
ollama_cold	7	1358.2	1359.4	0	10	cold
# unload ollama_cold #8: ok
# resid ollama_cold #8: resident_pages=0/34367 attempts=1
ollama_cold	8	1357.9	1358.7	0	10	cold
# unload ollama_cold #9: ok
# resid ollama_cold #9: resident_pages=0/34367 attempts=1
ollama_cold	9	1357.3	1358.3	0	10	cold
# unload ollama_cold #10: ok
# resid ollama_cold #10: resident_pages=0/34367 attempts=1
ollama_cold	10	1365.0	1366.0	0	10	cold
# unload ollama_cold #11: ok
# resid ollama_cold #11: resident_pages=0/34367 attempts=1
ollama_cold	11	1337.9	1338.8	0	10	cold
# unload ollama_cold #12: ok
