cell	trial	ttft_ms	exit_ms	rc	stdout_bytes	note
mlx_cold	4	2272.9	2347.6	0	142	cold
# resid mlx_cold #5: resid_pct=0
mlx_cold	5	2244.2	2323.9	0	142	cold
# resid mlx_cold #6: resid_pct=0
mlx_cold	6	2240.2	2314.5	0	142	cold
# resid mlx_cold #7: resid_pct=0
mlx_cold	7	2361.9	2449.5	0	142	cold
# resid mlx_cold #8: resid_pct=0
mlx_cold	8	2299.5	2374.7	0	142	cold
# resid mlx_cold #9: resid_pct=0
mlx_cold	9	2309.7	2397.2	0	142	cold
# resid mlx_cold #10: resid_pct=0
mlx_cold	10	2235.8	2314.5	0	142	cold
# resid mlx_cold #11: resid_pct=0
mlx_cold	11	2306.5	2384.3	0	142	cold
# resid mlx_cold #12: resid_pct=0
mlx_cold	12	2296.1	2373.1	0	142	cold
# mlx_warm load: 3.54 3.07 2.79
mlx_warm	1	2193.2	2277.0	0	142	warm
mlx_warm	2	2322.1	2405.0	0	142	warm
mlx_warm	3	2405.6	2486.9	0	142	warm
mlx_warm	4	2427.3	2514.2	0	142	warm
mlx_warm	5	2267.1	2356.2	0	142	warm
mlx_warm	6	2353.5	2431.7	0	142	warm
mlx_warm	7	2398.6	2482.7	0	142	warm
mlx_warm	8	2249.7	2326.2	0	142	warm
mlx_warm	9	2241.2	2317.1	0	142	warm
mlx_warm	10	2348.0	2441.6	0	142	warm
mlx_warm	11	2270.6	2352.0	0	142	warm
mlx_warm	12	2206.0	2284.2	0	142	warm
# tts_cold load: 3.54 3.11 2.81
# resid tts_cold #1: resid_pct=0
# resid tts_cold #2: resid_pct=0
# resid tts_cold #3: resid_pct=0
# resid tts_cold #4: resid_pct=0
# resid tts_cold #5: resid_pct=0
# resid tts_cold #6: resid_pct=0
# resid tts_cold #7: resid_pct=0
# resid tts_cold #8: resid_pct=0
# resid tts_cold #9: resid_pct=0
# resid tts_cold #10: resid_pct=0
# resid tts_cold #11: resid_pct=0
# resid tts_cold #12: resid_pct=0
tts_cold	1	960.4	1001.9	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=303
tts_cold	2	943.7	977.4	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=306
tts_cold	3	927.8	961.2	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=286
tts_cold	4	936.8	968.8	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=293
tts_cold	5	918.1	950.6	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=278
tts_cold	6	930.2	964.4	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=286
tts_cold	7	974.3	1008.5	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=306
tts_cold	8	933.4	973.6	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=290
tts_cold	9	934.9	977.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=288
tts_cold	10	943.1	984.5	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=290
tts_cold	11	926.0	957.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=279
tts_cold	12	923.6	963.3	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=283
# tts_warm load: 3.31 3.08 2.80
tts_warm	1	678.3	712.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=300
tts_warm	2	683.3	724.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=300
tts_warm	3	662.3	702.4	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=292
tts_warm	4	689.3	732.3	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=308
tts_warm	5	666.7	711.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=285
tts_warm	6	681.3	724.0	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=291
tts_warm	7	696.8	737.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=301
tts_warm	8	668.6	713.2	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=301
tts_warm	9	672.4	714.1	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=293
tts_warm	10	696.2	739.2	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=300
tts_warm	11	653.7	697.0	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=288
tts_warm	12	688.0	732.9	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=295
# tts_linger load: 3.33 3.09 2.81
tts_linger	1	320.6	322.2	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=302
tts_linger	2	100.7	102.3	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=84
tts_linger	3	98.7	100.4	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=83
tts_linger	4	98.4	100.1	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=82
tts_linger	5	99.8	101.5	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=84
tts_linger	6	100.9	102.5	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=85
tts_linger	7	98.7	100.3	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=82
tts_linger	8	101.1	103.0	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=83
tts_linger	9	99.8	101.4	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=83
tts_linger	10	98.9	100.7	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=82
tts_linger	11	99.6	101.3	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=83
tts_linger	12	98.6	100.2	0	0	ttft_ms=exec->first-audio-byte; exit_ms=exec->exit; ia_load_to_first_audio_ms=83
