cell	trial	ttft_ms	exit_ms	rc	stdout_bytes	note
# ia_cold load: 3.23 2.51 2.58
# resid ia_cold #1: resident_pages=0/28326 attempts=1
ia_cold	1	276.1	277.5	0	8	cold; first='Gravity\\n'
# resid ia_cold #2: resident_pages=0/28326 attempts=1
ia_cold	2	252.4	253.8	0	8	cold; first='Gravity\\n'
# resid ia_cold #3: resident_pages=0/28326 attempts=1
ia_cold	3	264.8	266.1	0	8	cold; first='Gravity\\n'
# resid ia_cold #4: resident_pages=0/28326 attempts=1
ia_cold	4	255.1	256.9	0	8	cold; first='Gravity\\n'
# resid ia_cold #5: resident_pages=0/28326 attempts=1
ia_cold	5	264.3	266.0	0	8	cold; first='Gravity\\n'
# resid ia_cold #6: resident_pages=0/28326 attempts=1
ia_cold	6	261.4	262.8	0	8	cold; first='Gravity\\n'
# resid ia_cold #7: resident_pages=0/28326 attempts=1
ia_cold	7	268.2	269.7	0	8	cold; first='Gravity\\n'
# resid ia_cold #8: resident_pages=0/28326 attempts=1
ia_cold	8	256.1	257.5	0	8	cold; first='Gravity\\n'
# resid ia_cold #9: resident_pages=0/28326 attempts=1
ia_cold	9	273.8	275.3	0	8	cold; first='Gravity\\n'
# resid ia_cold #10: resident_pages=0/28326 attempts=1
ia_cold	10	266.3	267.8	0	8	cold; first='Gravity\\n'
# resid ia_cold #11: resident_pages=0/28326 attempts=1
ia_cold	11	252.8	254.4	0	8	cold; first='Gravity\\n'
# resid ia_cold #12: resident_pages=0/28326 attempts=1
ia_cold	12	263.8	265.2	0	8	cold; first='Gravity\\n'
# ia_warm load: 3.29 2.54 2.59
ia_warm	1	106.7	108.5	0	8	warm; first='Gravity\\n'
ia_warm	2	106.6	108.1	0	8	warm; first='Gravity\\n'
ia_warm	3	99.5	101.0	0	8	warm; first='Gravity\\n'
ia_warm	4	112.7	114.1	0	8	warm; first='Gravity\\n'
ia_warm	5	105.3	107.0	0	8	warm; first='Gravity\\n'
ia_warm	6	157.7	159.3	0	8	warm; first='Gravity\\n'
ia_warm	7	99.7	101.2	0	8	warm; first='Gravity\\n'
ia_warm	8	110.5	112.2	0	8	warm; first='Gravity\\n'
ia_warm	9	107.6	109.1	0	8	warm; first='Gravity\\n'
ia_warm	10	113.1	114.5	0	8	warm; first='Gravity\\n'
ia_warm	11	103.9	105.5	0	8	warm; first='Gravity\\n'
ia_warm	12	101.2	102.6	0	8	warm; first='Gravity\\n'
# ia_linger load: 3.19 2.53 2.58
ia_linger	1	45.8	46.3	0	8	linger; first='Gravity\\n'
ia_linger	2	29.3	29.7	0	8	linger; first='Gravity\\n'
ia_linger	3	28.7	29.1	0	8	linger; first='Gravity\\n'
ia_linger	4	28.9	29.3	0	8	linger; first='Gravity\\n'
ia_linger	5	29.1	29.5	0	8	linger; first='Gravity\\n'
ia_linger	6	27.8	28.2	0	8	linger; first='Gravity\\n'
ia_linger	7	29.1	29.5	0	8	linger; first='Gravity\\n'
ia_linger	8	28.6	29.0	0	8	linger; first='Gravity\\n'
ia_linger	9	31.8	32.2	0	8	linger; first='Gravity\\n'
ia_linger	10	31.9	32.3	0	8	linger; first='Gravity\\n'
ia_linger	11	31.7	32.1	0	8	linger; first='Gravity\\n'
ia_linger	12	29.3	29.7	0	8	linger; first='Gravity\\n'
# llamacpp_cold load: 3.19 2.53 2.58
# resid llamacpp_cold #1: resident_pages=0/34365 attempts=1
llamacpp_cold	1	1688.3	2109.8	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #2: resident_pages=0/34365 attempts=1
llamacpp_cold	2	1345.3	1609.4	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #3: resident_pages=0/34365 attempts=1
llamacpp_cold	3	1332.2	1602.5	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #4: resident_pages=0/34365 attempts=1
llamacpp_cold	4	1321.0	1614.8	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #5: resident_pages=0/34365 attempts=1
llamacpp_cold	5	1319.4	1613.5	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #6: resident_pages=0/34365 attempts=1
llamacpp_cold	6	1322.6	1612.1	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #7: resident_pages=0/34365 attempts=1
llamacpp_cold	7	1342.6	1621.5	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #8: resident_pages=0/34365 attempts=1
llamacpp_cold	8	1291.9	1616.3	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #9: resident_pages=0/34365 attempts=1
llamacpp_cold	9	1357.9	1619.9	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #10: resident_pages=0/34365 attempts=1
llamacpp_cold	10	1369.5	1624.6	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #11: resident_pages=0/34365 attempts=1
llamacpp_cold	11	1370.3	1623.8	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# resid llamacpp_cold #12: resident_pages=0/34365 attempts=1
llamacpp_cold	12	1307.3	1609.6	0	24	cold; first='<think>\\n> EOF by user\\n\\n\\n'
# llamacpp_warm load: 3.31 2.61 2.61
llamacpp_warm	1	1054.7	1618.7	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	2	1089.6	1619.3	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	3	1056.9	1619.7	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	4	1093.2	1633.1	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	5	1132.7	1607.7	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	6	1099.1	1608.3	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	7	1098.1	1607.1	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	8	1057.6	1610.7	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	9	1062.2	1608.4	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	10	1041.4	1588.6	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	11	1010.3	1108.4	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
llamacpp_warm	12	1064.5	1139.0	0	24	warm; first='<think>\\n> EOF by user\\n\\n\\n'
# ollama_cold load: 2.88 2.55 2.59
# evictset ollama_cold: manifest (3 files)
# unload ollama_cold #1: ok
# resid ollama_cold #1: resident_pages=0/34367 attempts=1
ollama_cold	1	1603.1	1603.8	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #2: ok
# resid ollama_cold #2: resident_pages=0/34367 attempts=1
ollama_cold	2	1356.1	1357.5	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #3: ok
# resid ollama_cold #3: resident_pages=0/34367 attempts=1
ollama_cold	3	1348.7	1349.7	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #4: ok
# resid ollama_cold #4: resident_pages=0/34367 attempts=1
ollama_cold	4	1342.8	1343.6	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #5: ok
# resid ollama_cold #5: resident_pages=0/34367 attempts=1
ollama_cold	5	1339.7	1340.7	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #6: ok
# resid ollama_cold #6: resident_pages=0/34367 attempts=1
ollama_cold	6	1342.8	1343.7	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #7: ok
# resid ollama_cold #7: resident_pages=0/34367 attempts=1
ollama_cold	7	1338.1	1338.8	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #8: ok
# resid ollama_cold #8: resident_pages=0/34367 attempts=1
ollama_cold	8	1343.2	1344.1	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #9: ok
# resid ollama_cold #9: resident_pages=0/34367 attempts=1
ollama_cold	9	1343.3	1344.0	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #10: ok
# resid ollama_cold #10: resident_pages=0/34367 attempts=1
ollama_cold	10	1343.1	1343.9	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #11: ok
# resid ollama_cold #11: resident_pages=0/34367 attempts=1
ollama_cold	11	1340.6	1341.4	0	10	cold; first='Thinking\\n\\n'
# unload ollama_cold #12: ok
# resid ollama_cold #12: resident_pages=0/34367 attempts=1
ollama_cold	12	1337.8	1338.8	0	10	cold; first='Thinking\\n\\n'
# ollama_warm load: 3.41 2.69 2.64
ollama_warm	1	249.2	250.2	0	10	warm; first='Thinking\\n\\n'
ollama_warm	2	248.0	249.0	0	10	warm; first='Thinking\\n\\n'
ollama_warm	3	249.7	250.7	0	10	warm; first='Thinking\\n\\n'
ollama_warm	4	246.8	247.8	0	10	warm; first='Thinking\\n\\n'
ollama_warm	5	243.7	244.6	0	10	warm; first='Thinking\\n\\n'
ollama_warm	6	244.4	245.1	0	10	warm; first='Thinking\\n\\n'
ollama_warm	7	247.0	248.1	0	10	warm; first='Thinking\\n\\n'
ollama_warm	8	247.7	248.4	0	10	warm; first='Thinking\\n\\n'
