cell	trial	ttft_ms	exit_ms	rc	stdout_bytes	note
# ia_cold load: 5.23 4.96 4.65
ia_cold	1	267.7	269.5	0	8	cold
ia_cold	2	270.2	271.7	0	8	cold
ia_cold	3	275.5	277.5	0	8	cold
ia_cold	4	268.1	269.8	0	8	cold
ia_cold	5	266.3	268.2	0	8	cold
ia_cold	6	272.3	274.5	0	8	cold
ia_cold	7	274.5	276.0	0	8	cold
ia_cold	8	268.7	270.5	0	8	cold
ia_cold	9	267.9	270.1	0	8	cold
ia_cold	10	269.1	271.1	0	8	cold
ia_cold	11	264.1	265.9	0	8	cold
ia_cold	12	266.1	268.0	0	8	cold
# ia_warm load: 5.13 4.94 4.65
ia_warm	1	112.2	114.0	0	8	warm
ia_warm	2	112.6	114.3	0	8	warm
ia_warm	3	114.0	116.0	0	8	warm
ia_warm	4	114.5	116.6	0	8	warm
ia_warm	5	112.3	114.0	0	8	warm
ia_warm	6	111.2	112.8	0	8	warm
ia_warm	7	112.8	115.1	0	8	warm
ia_warm	8	110.1	111.7	0	8	warm
ia_warm	9	112.4	114.2	0	8	warm
ia_warm	10	107.0	108.7	0	8	warm
ia_warm	11	113.5	115.5	0	8	warm
ia_warm	12	113.1	114.8	0	8	warm
# ia_linger load: 5.12 4.94 4.65
ia_linger	1	45.2	45.6	0	8	linger
ia_linger	2	28.1	28.5	0	8	linger
ia_linger	3	27.7	28.1	0	8	linger
ia_linger	4	35.8	36.2	0	8	linger
ia_linger	5	28.3	28.8	0	8	linger
ia_linger	6	28.7	29.2	0	8	linger
ia_linger	7	28.9	29.4	0	8	linger
ia_linger	8	28.1	28.6	0	8	linger
ia_linger	9	36.6	37.1	0	8	linger
ia_linger	10	33.9	34.4	0	8	linger
ia_linger	11	28.2	28.7	0	8	linger
ia_linger	12	37.7	38.3	0	8	linger
# llamacpp_cold load: 5.12 4.94 4.65
llamacpp_cold	1	1628.4	2137.2	0	24	cold
llamacpp_cold	2	1306.8	1604.5	0	24	cold
llamacpp_cold	3	1301.9	1615.1	0	24	cold
llamacpp_cold	4	1312.7	1620.1	0	24	cold
llamacpp_cold	5	1311.9	1608.2	0	24	cold
llamacpp_cold	6	1330.3	1602.1	0	24	cold
llamacpp_cold	7	1320.2	1635.4	0	24	cold
llamacpp_cold	8	1310.6	1615.4	0	24	cold
llamacpp_cold	9	1322.2	1608.3	0	24	cold
llamacpp_cold	10	1310.8	1611.9	0	24	cold
llamacpp_cold	11	1335.2	1603.4	0	24	cold
llamacpp_cold	12	1342.6	1604.1	0	24	cold
# llamacpp_warm load: 4.86 4.90 4.64
llamacpp_warm	1	1647.4	2126.9	0	24	warm
llamacpp_warm	2	1207.6	1608.1	0	24	warm
llamacpp_warm	3	1124.8	1616.7	0	24	warm
llamacpp_warm	4	1158.5	1609.3	0	24	warm
llamacpp_warm	5	1144.0	1607.8	0	24	warm
llamacpp_warm	6	1142.5	1622.4	0	24	warm
llamacpp_warm	7	1189.2	1610.8	0	24	warm
llamacpp_warm	8	1183.2	1602.5	0	24	warm
llamacpp_warm	9	1177.2	1609.2	0	24	warm
llamacpp_warm	10	1197.3	1588.1	0	24	warm
